,City,Murder,Assault,UrbanPop,Rape,Longitude,Latitude
0,Alabama,13.2,236,58,21.2,-86.8295337,33.2588817
1,Alaska,10.0,263,48,44.5,-149.680909,64.4459613
2,Arizona,8.1,294,80,31.0,-111.763275,34.395342
3,Arkansas,8.8,190,50,19.5,-92.4479108,35.2048883
4,California,9.0,276,91,40.6,-118.755997,36.7014631
5,Colorado,7.9,204,78,38.7,-105.607716,38.7251776
6,Connecticut,3.3,110,77,11.1,-72.7342163,41.6500201
7,Delaware,5.9,238,72,15.8,-75.4013315,38.6920451
8,Florida,15.4,335,80,31.9,-81.4639835,27.7567667
9,Georgia,17.4,211,60,25.8,-83.1137366,32.3293809
10,Hawaii,5.3,46,83,20.2,-155.42837009716908,19.593801499999998
11,Idaho,2.6,120,54,14.2,-114.015407,43.6447642
12,Illinois,10.4,249,83,24.0,-89.4337288,40.0796606
13,Indiana,7.2,113,65,21.0,-86.1746933,40.3270127
14,Iowa,2.2,56,57,11.3,-93.3122705,41.9216734
15,Kansas,6.0,115,66,18.0,-98.5821872,38.27312
16,Kentucky,9.7,109,52,16.3,-85.1551411,37.5726028
17,Louisiana,15.4,249,66,22.2,-92.007126,30.8703881
18,Maine,2.1,83,51,7.8,-68.8590201,45.709097
19,Maryland,11.3,300,67,27.8,-76.9382069,39.5162401
20,Massachusetts,4.4,149,85,16.3,-72.032366,42.3788774
21,Michigan,12.1,255,74,35.1,-84.6824346,43.6211955
22,Minnesota,2.7,72,66,14.9,-94.6113288,45.9896587
23,Mississippi,16.1,259,44,17.1,-89.7348497,32.9715285
24,Missouri,9.0,178,70,28.2,-92.5617875,38.7604815
25,Montana,6.0,109,53,16.4,-109.638757,47.3752671
26,Nebraska,4.3,102,62,16.5,-99.5873816,41.7370229
27,Nevada,12.2,252,81,46.0,-116.8537227,39.5158825
28,New Hampshire,2.1,57,56,9.5,-71.6553992,43.4849133
29,New Jersey,7.4,159,89,18.8,-74.4041622,40.0757384
30,New Mexico,11.4,285,70,32.1,-105.993007,34.5708167
31,New York,11.1,254,86,26.1,-74.0060152,40.7127281
32,North Carolina,13.0,337,45,16.1,-79.0392919,35.6729639
33,North Dakota,0.8,45,44,7.3,-100.540737,47.6201461
34,Ohio,7.3,120,75,21.4,-82.6881395,40.2253569
35,Oklahoma,6.6,151,68,20.0,-97.2684063,34.9550817
36,Oregon,4.9,159,67,29.3,-120.737257,43.9792797
37,Pennsylvania,6.3,106,72,14.9,-77.7278831,40.9699889
38,Rhode Island,3.4,174,87,8.3,-71.5992372,41.7962409
39,South Carolina,14.4,279,48,22.5,-80.4363743,33.6874388
40,South Dakota,3.8,86,45,12.8,-100.348761,44.6471761
41,Tennessee,13.2,188,59,26.9,-86.2820081,35.7730076
42,Texas,12.7,201,80,25.5,-98.5456116,31.2638905
43,Utah,3.2,120,80,22.9,-111.714358,39.4225192
44,Vermont,2.2,48,32,11.2,-72.5002608,44.5990718
45,Virginia,8.5,156,63,20.7,-78.4927721,37.1232245
46,Washington,4.0,145,73,26.2,-77.0365427,38.8950368
47,West Virginia,5.7,81,39,9.3,-80.8408415,38.4758406
48,Wisconsin,2.6,53,66,10.8,-89.6884637,44.4308975
49,Wyoming,6.8,161,60,15.6,-107.568534,43.1700264
